epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,46.0215,1.08586,3.73891,0.90716,0.0025,1,0.00825,0.00428,0.99557,4.20115,0.84924,0.00062963,0.00062963,0.00062963
2,99.2433,1.22355,2.83004,0.94062,0.00192,0.76667,0.00363,0.00209,1.12049,4.34829,0.89613,0.00127063,0.00127063,0.00127063
3,146.471,1.19592,2.50076,0.94987,0.00225,0.9,0.00413,0.00228,1.01144,4.14655,0.87784,0.00188523,0.00188523,0.00188523
4,194.104,1.29851,2.33433,0.96728,0.00242,0.96667,0.14214,0.09584,1.21224,3.99708,0.91812,0.0018812,0.0018812,0.0018812
5,238.813,1.07244,2.02612,0.92742,0.0025,1,0.93849,0.66847,1.09976,3.57202,0.88855,0.0018416,0.0018416,0.0018416
6,283.505,1.04791,1.96522,0.93409,1,0.92611,0.995,0.68275,1.10783,3.02828,0.88911,0.001802,0.001802,0.001802
7,326.819,1.02285,1.82374,0.87688,1,0.97544,0.995,0.54024,1.37411,2.12199,0.92202,0.0017624,0.0017624,0.0017624
8,349.127,1.02841,1.6616,0.91235,1,0.99148,0.995,0.6585,1.08146,1.69895,0.87868,0.0017228,0.0017228,0.0017228
9,362.674,0.96211,1.42212,0.87811,0.96161,1,0.99306,0.61723,1.168,1.2992,0.88575,0.0016832,0.0016832,0.0016832
10,373.92,0.9353,1.41089,0.89378,0.96521,1,0.99306,0.74452,0.86771,1.14228,0.85695,0.0016436,0.0016436,0.0016436
11,385.123,1.00894,1.41121,0.9075,0.96517,1,0.99177,0.6892,0.9347,1.12288,0.86139,0.001604,0.001604,0.001604
12,396.431,0.88361,1.43488,0.87463,0.96483,1,0.99403,0.73578,0.83009,1.03407,0.84605,0.0015644,0.0015644,0.0015644
13,408,0.80429,1.30443,0.85693,0.9948,1,0.995,0.68039,0.8857,1.09032,0.85343,0.0015248,0.0015248,0.0015248
14,419.084,0.86785,1.23534,0.87129,1,0.99819,0.995,0.75031,0.81979,0.95574,0.84755,0.0014852,0.0014852,0.0014852
15,430.257,0.88332,1.2002,0.87047,0.99596,1,0.995,0.73056,0.75909,0.90884,0.83974,0.0014456,0.0014456,0.0014456
16,441.354,0.83968,1.14255,0.85747,0.99226,1,0.995,0.7575,0.84716,0.89687,0.85455,0.001406,0.001406,0.001406
17,452.549,0.7973,1.10194,0.86038,0.9941,1,0.995,0.78271,0.78784,0.82874,0.83952,0.0013664,0.0013664,0.0013664
18,463.47,0.83932,1.25638,0.85744,0.9985,1,0.995,0.78172,0.78554,0.82198,0.84506,0.0013268,0.0013268,0.0013268
19,474.218,0.8423,1.04002,0.87608,0.98446,1,0.995,0.77507,0.7607,0.79808,0.83832,0.0012872,0.0012872,0.0012872
20,485.019,0.75986,1.0162,0.8456,0.99533,1,0.995,0.78036,0.78755,0.82518,0.83869,0.0012476,0.0012476,0.0012476
21,496.393,0.68917,0.91304,0.8412,1,0.993,0.995,0.75985,0.83457,0.76157,0.84227,0.001208,0.001208,0.001208
22,507.794,0.77725,0.89564,0.85144,0.9659,1,0.99403,0.79629,0.80266,0.76687,0.83786,0.0011684,0.0011684,0.0011684
23,519.135,0.81394,0.99356,0.86871,0.96636,1,0.99403,0.78119,0.6877,0.74533,0.83688,0.0011288,0.0011288,0.0011288
24,530.769,0.76374,0.83504,0.85255,0.96597,1,0.99306,0.8027,0.7347,0.76562,0.83271,0.0010892,0.0010892,0.0010892
25,541.858,0.74528,0.85173,0.84692,0.96592,1,0.99403,0.80565,0.74379,0.77506,0.83198,0.0010496,0.0010496,0.0010496
26,552.781,0.74885,0.82567,0.85795,0.972,1,0.995,0.75657,0.80456,0.77193,0.83553,0.00101,0.00101,0.00101
27,563.805,0.74647,0.8913,0.83436,0.97212,1,0.995,0.75788,0.80529,0.74033,0.83346,0.0009704,0.0009704,0.0009704
28,574.588,0.73309,0.82481,0.85239,1,0.98549,0.995,0.73212,0.79468,0.68703,0.8384,0.0009308,0.0009308,0.0009308
29,585.506,0.72239,0.80755,0.82954,1,0.99292,0.995,0.7593,0.77503,0.68971,0.83863,0.0008912,0.0008912,0.0008912
30,596.317,0.70523,0.79648,0.84373,1,0.99114,0.995,0.75419,0.81084,0.68515,0.83749,0.0008516,0.0008516,0.0008516
31,607.117,0.70267,0.77362,0.84987,1,0.98734,0.995,0.7215,0.86103,0.71502,0.84466,0.000812,0.000812,0.000812
32,617.819,0.78551,0.7646,0.85344,1,0.99961,0.995,0.75455,0.85241,0.69121,0.8453,0.0007724,0.0007724,0.0007724
33,628.498,0.69546,0.70304,0.83809,0.9963,1,0.995,0.74063,0.79341,0.62658,0.83511,0.0007328,0.0007328,0.0007328
34,639.367,0.68717,0.71611,0.85951,0.99615,1,0.995,0.76244,0.7623,0.64528,0.83223,0.0006932,0.0006932,0.0006932
35,650.084,0.68555,0.69829,0.84163,0.99279,1,0.995,0.77577,0.76799,0.62754,0.8393,0.0006536,0.0006536,0.0006536
